"117s -- Majoitusliikkeiden kapasiteetti kunnittain, 1995-2025"

"Kunta";"Majoitusliikkeen tyyppi";"Vuoteet, lkm 2023"
"KOKO MAA";"Kaikki majoitusliikkeet";185560
"Akaa";"Kaikki majoitusliikkeet";.
"Alajärvi";"Kaikki majoitusliikkeet";.
"Alavieska";"Kaikki majoitusliikkeet";.
"Alavus";"Kaikki majoitusliikkeet";364
"Asikkala";"Kaikki majoitusliikkeet";536
"Aura";"Kaikki majoitusliikkeet";.
"Brändö";"Kaikki majoitusliikkeet";305
"Eckerö";"Kaikki majoitusliikkeet";1041
"Enonkoski";"Kaikki majoitusliikkeet";.
"Enontekiö";"Kaikki majoitusliikkeet";1624
"Espoo";"Kaikki majoitusliikkeet";4133
"Eura";"Kaikki majoitusliikkeet";.
"Eurajoki";"Kaikki majoitusliikkeet";.
"Evijärvi";"Kaikki majoitusliikkeet";.
"Finström";"Kaikki majoitusliikkeet";424
"Forssa";"Kaikki majoitusliikkeet";226
"Föglö";"Kaikki majoitusliikkeet";.
"Geta";"Kaikki majoitusliikkeet";178
"Haapajärvi";"Kaikki majoitusliikkeet";.
"Haapavesi";"Kaikki majoitusliikkeet";.
"Hailuoto";"Kaikki majoitusliikkeet";.
"Halsua";"Kaikki majoitusliikkeet";.
"Hamina";"Kaikki majoitusliikkeet";159
"Hammarland";"Kaikki majoitusliikkeet";158
"Hankasalmi";"Kaikki majoitusliikkeet";.
"Hanko";"Kaikki majoitusliikkeet";483
"Harjavalta";"Kaikki majoitusliikkeet";.
"Hartola";"Kaikki majoitusliikkeet";154
"Hattula";"Kaikki majoitusliikkeet";.
"Heinola";"Kaikki majoitusliikkeet";1593
"Heinävesi";"Kaikki majoitusliikkeet";297
"Helsinki";"Kaikki majoitusliikkeet";26339
"Hirvensalmi";"Kaikki majoitusliikkeet";.
"Hollola";"Kaikki majoitusliikkeet";.
"Huittinen";"Kaikki majoitusliikkeet";.
"Humppila";"Kaikki majoitusliikkeet";.
"Hyrynsalmi";"Kaikki majoitusliikkeet";.
"Hyvinkää";"Kaikki majoitusliikkeet";.
"Hämeenkyrö";"Kaikki majoitusliikkeet";.
"Hämeenlinna";"Kaikki majoitusliikkeet";1502
"Ii";"Kaikki majoitusliikkeet";131
"Iisalmi";"Kaikki majoitusliikkeet";555
"Iitti";"Kaikki majoitusliikkeet";190
"Ikaalinen";"Kaikki majoitusliikkeet";665
"Ilmajoki";"Kaikki majoitusliikkeet";.
"Ilomantsi";"Kaikki majoitusliikkeet";229
"Imatra";"Kaikki majoitusliikkeet";1597
"Inari";"Kaikki majoitusliikkeet";4862
"Inkoo";"Kaikki majoitusliikkeet";.
"Isojoki";"Kaikki majoitusliikkeet";.
"Isokyrö";"Kaikki majoitusliikkeet";161
"Janakkala";"Kaikki majoitusliikkeet";178
"Joensuu";"Kaikki majoitusliikkeet";1431
"Jomala";"Kaikki majoitusliikkeet";.
"Joroinen";"Kaikki majoitusliikkeet";.
"Joutsa";"Kaikki majoitusliikkeet";79
"Juuka";"Kaikki majoitusliikkeet";84
"Juupajoki";"Kaikki majoitusliikkeet";.
"Juva";"Kaikki majoitusliikkeet";.
"Jyväskylä";"Kaikki majoitusliikkeet";3564
"Jämijärvi";"Kaikki majoitusliikkeet";81
"Jämsä";"Kaikki majoitusliikkeet";3709
"Järvenpää";"Kaikki majoitusliikkeet";.
"Kaarina";"Kaikki majoitusliikkeet";133
"Kaavi";"Kaikki majoitusliikkeet";.
"Kajaani";"Kaikki majoitusliikkeet";747
"Kalajoki";"Kaikki majoitusliikkeet";2475
"Kangasala";"Kaikki majoitusliikkeet";190
"Kangasniemi";"Kaikki majoitusliikkeet";138
"Kankaanpää";"Kaikki majoitusliikkeet";267
"Kannonkoski";"Kaikki majoitusliikkeet";.
"Kannus";"Kaikki majoitusliikkeet";.
"Karkkila";"Kaikki majoitusliikkeet";.
"Karstula";"Kaikki majoitusliikkeet";.
"Karvia";"Kaikki majoitusliikkeet";.
"Kaskinen";"Kaikki majoitusliikkeet";.
"Kauhajoki";"Kaikki majoitusliikkeet";256
"Kauhava";"Kaikki majoitusliikkeet";929
"Kauniainen";"Kaikki majoitusliikkeet";.
"Kaustinen";"Kaikki majoitusliikkeet";174
"Keitele";"Kaikki majoitusliikkeet";.
"Kemi";"Kaikki majoitusliikkeet";810
"Kemijärvi";"Kaikki majoitusliikkeet";542
"Keminmaa";"Kaikki majoitusliikkeet";185
"Kemiönsaari";"Kaikki majoitusliikkeet";532
"Kempele";"Kaikki majoitusliikkeet";329
"Kerava";"Kaikki majoitusliikkeet";.
"Keuruu";"Kaikki majoitusliikkeet";678
"Kihniö";"Kaikki majoitusliikkeet";.
"Kinnula";"Kaikki majoitusliikkeet";.
"Kirkkonummi";"Kaikki majoitusliikkeet";569
"Kitee";"Kaikki majoitusliikkeet";439
"Kittilä";"Kaikki majoitusliikkeet";4199
"Kiuruvesi";"Kaikki majoitusliikkeet";.
"Kivijärvi";"Kaikki majoitusliikkeet";.
"Kokemäki";"Kaikki majoitusliikkeet";109
"Kokkola";"Kaikki majoitusliikkeet";850
"Kolari";"Kaikki majoitusliikkeet";4146
"Konnevesi";"Kaikki majoitusliikkeet";.
"Kontiolahti";"Kaikki majoitusliikkeet";179
"Kotka";"Kaikki majoitusliikkeet";1073
"Kouvola";"Kaikki majoitusliikkeet";1361
"Kristiinankaupunki";"Kaikki majoitusliikkeet";179
"Kruunupyy";"Kaikki majoitusliikkeet";.
"Kuhmo";"Kaikki majoitusliikkeet";221
"Kuhmoinen";"Kaikki majoitusliikkeet";.
"Kumlinge";"Kaikki majoitusliikkeet";.
"Kuopio";"Kaikki majoitusliikkeet";4503
"Kuortane";"Kaikki majoitusliikkeet";.
"Kurikka";"Kaikki majoitusliikkeet";309
"Kustavi";"Kaikki majoitusliikkeet";219
"Kuusamo";"Kaikki majoitusliikkeet";5613
"Kyyjärvi";"Kaikki majoitusliikkeet";.
"Kärkölä";"Kaikki majoitusliikkeet";.
"Kärsämäki";"Kaikki majoitusliikkeet";.
"Kökar";"Kaikki majoitusliikkeet";241
"Lahti";"Kaikki majoitusliikkeet";1998
"Laihia";"Kaikki majoitusliikkeet";.
"Laitila";"Kaikki majoitusliikkeet";.
"Lapinjärvi";"Kaikki majoitusliikkeet";.
"Lapinlahti";"Kaikki majoitusliikkeet";.
"Lappajärvi";"Kaikki majoitusliikkeet";.
"Lappeenranta";"Kaikki majoitusliikkeet";3083
"Lapua";"Kaikki majoitusliikkeet";310
"Laukaa";"Kaikki majoitusliikkeet";.
"Lemi";"Kaikki majoitusliikkeet";.
"Lemland";"Kaikki majoitusliikkeet";.
"Lempäälä";"Kaikki majoitusliikkeet";208
"Leppävirta";"Kaikki majoitusliikkeet";491
"Lestijärvi";"Kaikki majoitusliikkeet";.
"Lieksa";"Kaikki majoitusliikkeet";1361
"Lieto";"Kaikki majoitusliikkeet";.
"Liminka";"Kaikki majoitusliikkeet";.
"Liperi";"Kaikki majoitusliikkeet";.
"Lohja";"Kaikki majoitusliikkeet";1184
"Loimaa";"Kaikki majoitusliikkeet";205
"Loppi";"Kaikki majoitusliikkeet";.
"Loviisa";"Kaikki majoitusliikkeet";250
"Luhanka";"Kaikki majoitusliikkeet";.
"Lumparland";"Kaikki majoitusliikkeet";.
"Luoto";"Kaikki majoitusliikkeet";.
"Luumäki";"Kaikki majoitusliikkeet";207
"Maalahti";"Kaikki majoitusliikkeet";.
"Maarianhamina - Mariehamn";"Kaikki majoitusliikkeet";1767
"Merikarvia";"Kaikki majoitusliikkeet";.
"Mikkeli";"Kaikki majoitusliikkeet";1889
"Muhos";"Kaikki majoitusliikkeet";.
"Multia";"Kaikki majoitusliikkeet";.
"Muonio";"Kaikki majoitusliikkeet";1443
"Mustasaari";"Kaikki majoitusliikkeet";.
"Muurame";"Kaikki majoitusliikkeet";.
"Mynämäki";"Kaikki majoitusliikkeet";.
"Mäntsälä";"Kaikki majoitusliikkeet";.
"Mänttä-Vilppula";"Kaikki majoitusliikkeet";137
"Mäntyharju";"Kaikki majoitusliikkeet";304
"Naantali";"Kaikki majoitusliikkeet";1123
"Nakkila";"Kaikki majoitusliikkeet";.
"Nivala";"Kaikki majoitusliikkeet";.
"Nokia";"Kaikki majoitusliikkeet";.
"Nurmes";"Kaikki majoitusliikkeet";591
"Nurmijärvi";"Kaikki majoitusliikkeet";250
"Närpiö";"Kaikki majoitusliikkeet";163
"Orimattila";"Kaikki majoitusliikkeet";.
"Orivesi";"Kaikki majoitusliikkeet";198
"Oulainen";"Kaikki majoitusliikkeet";.
"Oulu";"Kaikki majoitusliikkeet";2994
"Outokumpu";"Kaikki majoitusliikkeet";112
"Padasjoki";"Kaikki majoitusliikkeet";66
"Paimio";"Kaikki majoitusliikkeet";.
"Paltamo";"Kaikki majoitusliikkeet";.
"Parainen";"Kaikki majoitusliikkeet";1335
"Parikkala";"Kaikki majoitusliikkeet";314
"Parkano";"Kaikki majoitusliikkeet";.
"Pedersören kunta";"Kaikki majoitusliikkeet";.
"Pelkosenniemi";"Kaikki majoitusliikkeet";1445
"Pello";"Kaikki majoitusliikkeet";370
"Perho";"Kaikki majoitusliikkeet";.
"Petäjävesi";"Kaikki majoitusliikkeet";.
"Pieksämäki";"Kaikki majoitusliikkeet";.
"Pielavesi";"Kaikki majoitusliikkeet";.
"Pietarsaari";"Kaikki majoitusliikkeet";396
"Pihtipudas";"Kaikki majoitusliikkeet";.
"Pirkkala";"Kaikki majoitusliikkeet";.
"Polvijärvi";"Kaikki majoitusliikkeet";.
"Pomarkku";"Kaikki majoitusliikkeet";.
"Pori";"Kaikki majoitusliikkeet";1982
"Porvoo";"Kaikki majoitusliikkeet";1154
"Posio";"Kaikki majoitusliikkeet";279
"Pudasjärvi";"Kaikki majoitusliikkeet";1508
"Puolanka";"Kaikki majoitusliikkeet";.
"Puumala";"Kaikki majoitusliikkeet";399
"Pyhtää";"Kaikki majoitusliikkeet";.
"Pyhäjoki";"Kaikki majoitusliikkeet";.
"Pyhäjärvi";"Kaikki majoitusliikkeet";206
"Pyhäntä";"Kaikki majoitusliikkeet";.
"Pyhäranta";"Kaikki majoitusliikkeet";.
"Pälkäne";"Kaikki majoitusliikkeet";446
"Pöytyä";"Kaikki majoitusliikkeet";.
"Raahe";"Kaikki majoitusliikkeet";391
"Raasepori";"Kaikki majoitusliikkeet";668
"Raisio";"Kaikki majoitusliikkeet";185
"Rantasalmi";"Kaikki majoitusliikkeet";676
"Ranua";"Kaikki majoitusliikkeet";367
"Rauma";"Kaikki majoitusliikkeet";630
"Rautalampi";"Kaikki majoitusliikkeet";.
"Rautavaara";"Kaikki majoitusliikkeet";.
"Rautjärvi";"Kaikki majoitusliikkeet";.
"Reisjärvi";"Kaikki majoitusliikkeet";.
"Riihimäki";"Kaikki majoitusliikkeet";329
"Ristijärvi";"Kaikki majoitusliikkeet";.
"Rovaniemi";"Kaikki majoitusliikkeet";4962
"Ruokolahti";"Kaikki majoitusliikkeet";.
"Ruovesi";"Kaikki majoitusliikkeet";277
"Rääkkylä";"Kaikki majoitusliikkeet";.
"Saarijärvi";"Kaikki majoitusliikkeet";237
"Salla";"Kaikki majoitusliikkeet";1335
"Salo";"Kaikki majoitusliikkeet";517
"Saltvik";"Kaikki majoitusliikkeet";276
"Sastamala";"Kaikki majoitusliikkeet";250
"Savitaipale";"Kaikki majoitusliikkeet";.
"Savonlinna";"Kaikki majoitusliikkeet";3356
"Savukoski";"Kaikki majoitusliikkeet";163
"Seinäjoki";"Kaikki majoitusliikkeet";1473
"Sievi";"Kaikki majoitusliikkeet";.
"Siikainen";"Kaikki majoitusliikkeet";.
"Siikajoki";"Kaikki majoitusliikkeet";.
"Siikalatva";"Kaikki majoitusliikkeet";.
"Siilinjärvi";"Kaikki majoitusliikkeet";.
"Simo";"Kaikki majoitusliikkeet";.
"Sipoo";"Kaikki majoitusliikkeet";.
"Siuntio";"Kaikki majoitusliikkeet";.
"Sodankylä";"Kaikki majoitusliikkeet";2580
"Soini";"Kaikki majoitusliikkeet";.
"Somero";"Kaikki majoitusliikkeet";.
"Sonkajärvi";"Kaikki majoitusliikkeet";89
"Sotkamo";"Kaikki majoitusliikkeet";5434
"Sottunga";"Kaikki majoitusliikkeet";.
"Sulkava";"Kaikki majoitusliikkeet";.
"Sund";"Kaikki majoitusliikkeet";167
"Suomussalmi";"Kaikki majoitusliikkeet";511
"Suonenjoki";"Kaikki majoitusliikkeet";.
"Sysmä";"Kaikki majoitusliikkeet";175
"Säkylä";"Kaikki majoitusliikkeet";.
"Taipalsaari";"Kaikki majoitusliikkeet";.
"Taivalkoski";"Kaikki majoitusliikkeet";344
"Taivassalo";"Kaikki majoitusliikkeet";.
"Tammela";"Kaikki majoitusliikkeet";631
"Tampere";"Kaikki majoitusliikkeet";8643
"Tervo";"Kaikki majoitusliikkeet";163
"Tervola";"Kaikki majoitusliikkeet";.
"Teuva";"Kaikki majoitusliikkeet";.
"Tohmajärvi";"Kaikki majoitusliikkeet";.
"Toholampi";"Kaikki majoitusliikkeet";.
"Toivakka";"Kaikki majoitusliikkeet";.
"Tornio";"Kaikki majoitusliikkeet";426
"Turku";"Kaikki majoitusliikkeet";5830
"Tuusniemi";"Kaikki majoitusliikkeet";.
"Tuusula";"Kaikki majoitusliikkeet";309
"Tyrnävä";"Kaikki majoitusliikkeet";.
"Ulvila";"Kaikki majoitusliikkeet";.
"Urjala";"Kaikki majoitusliikkeet";.
"Utajärvi";"Kaikki majoitusliikkeet";455
"Utsjoki";"Kaikki majoitusliikkeet";605
"Uusikaarlepyy";"Kaikki majoitusliikkeet";.
"Uusikaupunki";"Kaikki majoitusliikkeet";250
"Vaala";"Kaikki majoitusliikkeet";190
"Vaasa";"Kaikki majoitusliikkeet";2095
"Valkeakoski";"Kaikki majoitusliikkeet";280
"Vantaa";"Kaikki majoitusliikkeet";6313
"Varkaus";"Kaikki majoitusliikkeet";.
"Vehmaa";"Kaikki majoitusliikkeet";.
"Vesilahti";"Kaikki majoitusliikkeet";.
"Veteli";"Kaikki majoitusliikkeet";.
"Vieremä";"Kaikki majoitusliikkeet";.
"Vihti";"Kaikki majoitusliikkeet";159
"Viitasaari";"Kaikki majoitusliikkeet";.
"Vimpeli";"Kaikki majoitusliikkeet";.
"Virolahti";"Kaikki majoitusliikkeet";142
"Virrat";"Kaikki majoitusliikkeet";324
"Vårdö";"Kaikki majoitusliikkeet";.
"Vöyri";"Kaikki majoitusliikkeet";.
"Ylitornio";"Kaikki majoitusliikkeet";356
"Ylivieska";"Kaikki majoitusliikkeet";.
"Ylöjärvi";"Kaikki majoitusliikkeet";.
"Ypäjä";"Kaikki majoitusliikkeet";.
"Ähtäri";"Kaikki majoitusliikkeet";665
"Äänekoski";"Kaikki majoitusliikkeet";194
