"Municipal key figures 1987-2023"

"Region";"Information";"2023"
"WHOLE COUNTRY";"Population";5603851
"WHOLE COUNTRY";"Population change from the previous year, %";0.7
"WHOLE COUNTRY";"Persons aged under 15, %";14.9
"WHOLE COUNTRY";"Persons aged 15 to 64, %";61.8
"WHOLE COUNTRY";"Persons aged 64 or over, %";23.4
"WHOLE COUNTRY";"Swedish-speaking, %";5.1
"WHOLE COUNTRY";"Foreign citizens, %";6.7
"WHOLE COUNTRY";"Degree of urbanisation, %";.
"WHOLE COUNTRY";"Excess of births, persons";-17956
"WHOLE COUNTRY";"Intermunicipal migration gain/loss, persons";0
"WHOLE COUNTRY";"Families";1466954
"WHOLE COUNTRY";"Household-dwelling units";2844883
"WHOLE COUNTRY";"Household-dwelling units living in terraced houses and detached houses, %";50.6
"WHOLE COUNTRY";"Household-dwelling units living in rental dwellings, %";.
"WHOLE COUNTRY";"Share of persons aged 15 or over with at least upper secondary qualifications, %";.
"WHOLE COUNTRY";"Persons with tertiary level qualifications, share of persons aged 15 or over, %";.
"WHOLE COUNTRY";"Economic dependency ratio";.
"WHOLE COUNTRY";"Workplace self-sufficiency";.
"WHOLE COUNTRY";"Employed labour force resident in the area";.
"WHOLE COUNTRY";"Employment rate of persons aged 20 to 64, %";.
"WHOLE COUNTRY";"Employees working in their municipality of residence, share of employed persons, %";.
"WHOLE COUNTRY";"Share of unemployed persons in the labour force, %";.
"WHOLE COUNTRY";"Share of pensioners in the population, %";.
"WHOLE COUNTRY";"Jobs in the area";.
"WHOLE COUNTRY";"Share of jobs in primary production, %";.
"WHOLE COUNTRY";"Share of jobs in secondary production, %";.
"WHOLE COUNTRY";"Share of jobs in services, %";.
"Akaa";"Population";16405
"Akaa";"Population change from the previous year, %";-0.4
"Akaa";"Persons aged under 15, %";15.3
"Akaa";"Persons aged 15 to 64, %";59.1
"Akaa";"Persons aged 64 or over, %";25.6
"Akaa";"Swedish-speaking, %";0.2
"Akaa";"Foreign citizens, %";2.1
"Akaa";"Degree of urbanisation, %";.
"Akaa";"Excess of births, persons";-105
"Akaa";"Intermunicipal migration gain/loss, persons";-18
"Akaa";"Families";4531
"Akaa";"Household-dwelling units";7995
"Akaa";"Household-dwelling units living in terraced houses and detached houses, %";71.7
"Akaa";"Household-dwelling units living in rental dwellings, %";.
"Akaa";"Share of persons aged 15 or over with at least upper secondary qualifications, %";.
"Akaa";"Persons with tertiary level qualifications, share of persons aged 15 or over, %";.
"Akaa";"Economic dependency ratio";.
"Akaa";"Workplace self-sufficiency";.
"Akaa";"Employed labour force resident in the area";.
"Akaa";"Employment rate of persons aged 20 to 64, %";.
"Akaa";"Employees working in their municipality of residence, share of employed persons, %";.
"Akaa";"Share of unemployed persons in the labour force, %";.
"Akaa";"Share of pensioners in the population, %";.
"Akaa";"Jobs in the area";.
"Akaa";"Share of jobs in primary production, %";.
"Akaa";"Share of jobs in secondary production, %";.
"Akaa";"Share of jobs in services, %";.
"Alajärvi";"Population";9113
"Alajärvi";"Population change from the previous year, %";-0.8
"Alajärvi";"Persons aged under 15, %";16.2
"Alajärvi";"Persons aged 15 to 64, %";53.1
"Alajärvi";"Persons aged 64 or over, %";30.8
"Alajärvi";"Swedish-speaking, %";0.2
"Alajärvi";"Foreign citizens, %";4.0
"Alajärvi";"Degree of urbanisation, %";.
"Alajärvi";"Excess of births, persons";-65
"Alajärvi";"Intermunicipal migration gain/loss, persons";-124
"Alajärvi";"Families";2522
"Alajärvi";"Household-dwelling units";4037
"Alajärvi";"Household-dwelling units living in terraced houses and detached houses, %";91.7
"Alajärvi";"Household-dwelling units living in rental dwellings, %";.
"Alajärvi";"Share of persons aged 15 or over with at least upper secondary qualifications, %";.
"Alajärvi";"Persons with tertiary level qualifications, share of persons aged 15 or over, %";.
"Alajärvi";"Economic dependency ratio";.
"Alajärvi";"Workplace self-sufficiency";.
"Alajärvi";"Employed labour force resident in the area";.
"Alajärvi";"Employment rate of persons aged 20 to 64, %";.
"Alajärvi";"Employees working in their municipality of residence, share of employed persons, %";.
"Alajärvi";"Share of unemployed persons in the labour force, %";.
"Alajärvi";"Share of pensioners in the population, %";.
"Alajärvi";"Jobs in the area";.
"Alajärvi";"Share of jobs in primary production, %";.
"Alajärvi";"Share of jobs in secondary production, %";.
"Alajärvi";"Share of jobs in services, %";.
"Alavieska";"Population";2437
"Alavieska";"Population change from the previous year, %";-0.4
"Alavieska";"Persons aged under 15, %";18.3
"Alavieska";"Persons aged 15 to 64, %";54.9
"Alavieska";"Persons aged 64 or over, %";26.9
"Alavieska";"Swedish-speaking, %";0.2
"Alavieska";"Foreign citizens, %";1.8
"Alavieska";"Degree of urbanisation, %";.
"Alavieska";"Excess of births, persons";-14
"Alavieska";"Intermunicipal migration gain/loss, persons";-28
"Alavieska";"Families";642
"Alavieska";"Household-dwelling units";1095
"Alavieska";"Household-dwelling units living in terraced houses and detached houses, %";97.5
"Alavieska";"Household-dwelling units living in rental dwellings, %";.
"Alavieska";"Share of persons aged 15 or over with at least upper secondary qualifications, %";.
"Alavieska";"Persons with tertiary level qualifications, share of persons aged 15 or over, %";.
"Alavieska";"Economic dependency ratio";.
"Alavieska";"Workplace self-sufficiency";.
"Alavieska";"Employed labour force resident in the area";.
"Alavieska";"Employment rate of persons aged 20 to 64, %";.
"Alavieska";"Employees working in their municipality of residence, share of employed persons, %";.
"Alavieska";"Share of unemployed persons in the labour force, %";.
"Alavieska";"Share of pensioners in the population, %";.
"Alavieska";"Jobs in the area";.
"Alavieska";"Share of jobs in primary production, %";.
"Alavieska";"Share of jobs in secondary production, %";.
"Alavieska";"Share of jobs in services, %";.
"Alavus";"Population";10933
"Alavus";"Population change from the previous year, %";-1.5
"Alavus";"Persons aged under 15, %";15.8
"Alavus";"Persons aged 15 to 64, %";54.3
"Alavus";"Persons aged 64 or over, %";29.9
"Alavus";"Swedish-speaking, %";0.1
"Alavus";"Foreign citizens, %";2.0
"Alavus";"Degree of urbanisation, %";.
"Alavus";"Excess of births, persons";-145
"Alavus";"Intermunicipal migration gain/loss, persons";-92
"Alavus";"Families";2944
"Alavus";"Household-dwelling units";5181
"Alavus";"Household-dwelling units living in terraced houses and detached houses, %";86.5
"Alavus";"Household-dwelling units living in rental dwellings, %";.
"Alavus";"Share of persons aged 15 or over with at least upper secondary qualifications, %";.
"Alavus";"Persons with tertiary level qualifications, share of persons aged 15 or over, %";.
"Alavus";"Economic dependency ratio";.
"Alavus";"Workplace self-sufficiency";.
"Alavus";"Employed labour force resident in the area";.
"Alavus";"Employment rate of persons aged 20 to 64, %";.
"Alavus";"Employees working in their municipality of residence, share of employed persons, %";.
"Alavus";"Share of unemployed persons in the labour force, %";.
"Alavus";"Share of pensioners in the population, %";.
"Alavus";"Jobs in the area";.
"Alavus";"Share of jobs in primary production, %";.
"Alavus";"Share of jobs in secondary production, %";.
"Alavus";"Share of jobs in services, %";.
"Asikkala";"Population";7968
"Asikkala";"Population change from the previous year, %";-0.6
"Asikkala";"Persons aged under 15, %";12.9
"Asikkala";"Persons aged 15 to 64, %";52.0
"Asikkala";"Persons aged 64 or over, %";35.1
"Asikkala";"Swedish-speaking, %";0.2
"Asikkala";"Foreign citizens, %";2.7
"Asikkala";"Degree of urbanisation, %";.
"Asikkala";"Excess of births, persons";-69
"Asikkala";"Intermunicipal migration gain/loss, persons";-23
"Asikkala";"Families";2255
"Asikkala";"Household-dwelling units";3982
