"11ra -- Tunnuslukuja väestöstä alueittain, 1990-2024"

"Alue";"Tiedot";"2023"
"KOKO MAA";"Maapinta-ala, km²";303610.99
"Akaa";"Maapinta-ala, km²";293.27
"Alajärvi";"Maapinta-ala, km²";1008.85
"Alavieska";"Maapinta-ala, km²";251.54
"Alavus";"Maapinta-ala, km²";1087.18
"Asikkala";"Maapinta-ala, km²";563.41
"Askola";"Maapinta-ala, km²";212.44
"Aura";"Maapinta-ala, km²";95.01
"Brändö";"Maapinta-ala, km²";108.28
"Eckerö";"Maapinta-ala, km²";107.74
"Enonkoski";"Maapinta-ala, km²";305.59
"Enontekiö";"Maapinta-ala, km²";7953.44
"Espoo";"Maapinta-ala, km²";312.38
"Eura";"Maapinta-ala, km²";578.91
"Eurajoki";"Maapinta-ala, km²";515.03
"Evijärvi";"Maapinta-ala, km²";354.15
"Finström";"Maapinta-ala, km²";123.44
"Forssa";"Maapinta-ala, km²";248.87
"Föglö";"Maapinta-ala, km²";135.37
"Geta";"Maapinta-ala, km²";84.55
"Haapajärvi";"Maapinta-ala, km²";766.48
"Haapavesi";"Maapinta-ala, km²";1050.63
"Hailuoto";"Maapinta-ala, km²";205.58
"Halsua";"Maapinta-ala, km²";412.99
"Hamina";"Maapinta-ala, km²";609.89
"Hammarland";"Maapinta-ala, km²";138.63
"Hankasalmi";"Maapinta-ala, km²";571.69
"Hanko";"Maapinta-ala, km²";117.60
"Harjavalta";"Maapinta-ala, km²";123.48
"Hartola";"Maapinta-ala, km²";542.96
"Hattula";"Maapinta-ala, km²";357.79
"Hausjärvi";"Maapinta-ala, km²";389.42
"Heinola";"Maapinta-ala, km²";675.97
"Heinävesi";"Maapinta-ala, km²";1030.00
"Helsinki";"Maapinta-ala, km²";214.51
"Hirvensalmi";"Maapinta-ala, km²";465.11
"Hollola";"Maapinta-ala, km²";651.81
"Huittinen";"Maapinta-ala, km²";532.65
"Humppila";"Maapinta-ala, km²";147.96
"Hyrynsalmi";"Maapinta-ala, km²";1421.27
"Hyvinkää";"Maapinta-ala, km²";322.69
"Hämeenkyrö";"Maapinta-ala, km²";463.99
"Hämeenlinna";"Maapinta-ala, km²";1785.56
"Ii";"Maapinta-ala, km²";1615.71
"Iisalmi";"Maapinta-ala, km²";763.00
"Iitti";"Maapinta-ala, km²";589.87
"Ikaalinen";"Maapinta-ala, km²";750.48
"Ilmajoki";"Maapinta-ala, km²";576.74
"Ilomantsi";"Maapinta-ala, km²";2763.44
"Imatra";"Maapinta-ala, km²";154.99
"Inari";"Maapinta-ala, km²";15065.87
"Inkoo";"Maapinta-ala, km²";350.85
"Isojoki";"Maapinta-ala, km²";642.40
"Isokyrö";"Maapinta-ala, km²";354.15
"Janakkala";"Maapinta-ala, km²";547.45
"Joensuu";"Maapinta-ala, km²";2381.82
