id,tapahtumaAika,vuosi,kuukausi,x,y,kunta,kuntaNimi,maakunta,maakuntaNimi,tielaji,tielajis,tieNumero,tieYllapito,tieYllapitoNimi,riistalaji,riistalajiNimi
1,2017-12-10T16:55:00.000+02:00,2017,12,278773.659,6980877.55,743,Seinäjoki,14,Etelä-Pohjanmaa,3,Valtatie,18,1,Valtio,47507,Metsäkauris
2,2017-09-03T13:00:00.000+03:00,2017,09,397501.008,7503083.73,261,Kittilä,19,Lappi,4,Kantatie,80,1,Valtio,47503,Hirvi
3,2017-09-18T07:00:00.000+03:00,2017,09,418353.841,7514104.657,261,Kittilä,19,Lappi,6,Muu maantie,9552,1,Valtio,47503,Hirvi
4,2017-12-01T17:00:00.000+02:00,2017,12,488970.827,6722504.397,285,Kotka,08,Kymenlaakso,5,Seututie,357,1,Valtio,47629,Valkohäntäpeura
5,2017-09-18T07:00:00.000+03:00,2017,09,418766.58,7506930.833,261,Kittilä,19,Lappi,6,Muu maantie,9552,1,Valtio,47503,Hirvi
6,2017-12-10T22:30:00.000+02:00,2017,12,278789.633,6980862.868,743,Seinäjoki,14,Etelä-Pohjanmaa,3,Valtatie,18,1,Valtio,47507,Metsäkauris
7,2017-09-16T08:24:56.709+03:00,2017,09,323505.118,6952536.295,300,Kuortane,14,Etelä-Pohjanmaa,4,Kantatie,66,1,Valtio,47507,Metsäkauris
8,2017-09-09T08:30:00.000+03:00,2017,09,452859.645,7200602.372,494,Muhos,17,Pohjois-Pohjanmaa,5,Seututie,834,1,Valtio,47503,Hirvi
9,2017-04-07T17:00:00.000+03:00,2017,04,404833.719,7526045.181,261,Kittilä,19,Lappi,4,Kantatie,79,1,Valtio,47503,Hirvi
10,2017-12-29T00:24:42.249+02:00,2017,12,312794.513,6964709.571,300,Kuortane,14,Etelä-Pohjanmaa,5,Seututie,697,1,Valtio,47503,Hirvi
11,2017-01-05T11:37:00.000+02:00,2017,01,386917.811,6681587.676,091,Helsinki,01,Uusimaa,8,Kunnan tie,40962,2,Kunta,47507,Metsäkauris
12,2017-02-02T17:00:00.000+02:00,2017,02,318557.513,6664615.149,710,Raasepori,01,Uusimaa,9,Yksityinen tie,,99,Ei tietoa,47629,Valkohäntäpeura
13,2017-09-30T14:00:00.000+03:00,2017,09,452556.021,7200240.048,494,Muhos,17,Pohjois-Pohjanmaa,5,Seututie,834,1,Valtio,47503,Hirvi
14,2017-05-29T01:15:00.000+03:00,2017,05,408908.287,7512045.455,261,Kittilä,19,Lappi,9,Yksityinen tie,,3,Yksityinen,47503,Hirvi
