"12jz -- Maanteiden pituus ja liikennesuorite kunnittain, 2017-2024"

"Alue";"Tieluokka";"Päällyste";"Vuosi";"Tiepituus"
"MA1 MANNER-SUOMI";"Yhteensä";"Yhteensä";"2023";77866
"MK01 Uusimaa";"Yhteensä";"Yhteensä";"2023";4564
"Espoo";"Yhteensä";"Yhteensä";"2023";157
"Helsinki";"Yhteensä";"Yhteensä";"2023";76
"Hyvinkää";"Yhteensä";"Yhteensä";"2023";168
"Järvenpää";"Yhteensä";"Yhteensä";"2023";30
"Karkkila";"Yhteensä";"Yhteensä";"2023";111
"Kauniainen";"Yhteensä";"Yhteensä";"2023";2
"Kerava";"Yhteensä";"Yhteensä";"2023";25
"Kirkkonummi";"Yhteensä";"Yhteensä";"2023";191
"Lohja";"Yhteensä";"Yhteensä";"2023";522
"Mäntsälä";"Yhteensä";"Yhteensä";"2023";324
"Nurmijärvi";"Yhteensä";"Yhteensä";"2023";261
"Pornainen";"Yhteensä";"Yhteensä";"2023";58
"Sipoo";"Yhteensä";"Yhteensä";"2023";192
"Siuntio";"Yhteensä";"Yhteensä";"2023";113
"Tuusula";"Yhteensä";"Yhteensä";"2023";152
"Vantaa";"Yhteensä";"Yhteensä";"2023";133
"Vihti";"Yhteensä";"Yhteensä";"2023";298
"Lapinjärvi";"Yhteensä";"Yhteensä";"2023";136
"Loviisa";"Yhteensä";"Yhteensä";"2023";357
"Askola";"Yhteensä";"Yhteensä";"2023";121
"Myrskylä";"Yhteensä";"Yhteensä";"2023";84
"Porvoo";"Yhteensä";"Yhteensä";"2023";310
"Pukkila";"Yhteensä";"Yhteensä";"2023";64
"Hanko";"Yhteensä";"Yhteensä";"2023";52
"Inkoo";"Yhteensä";"Yhteensä";"2023";145
"Raasepori";"Yhteensä";"Yhteensä";"2023";484
"MK02 Varsinais-Suomi";"Yhteensä";"Yhteensä";"2023";4806
"Aura";"Yhteensä";"Yhteensä";"2023";57
"Koski Tl";"Yhteensä";"Yhteensä";"2023";84
"Loimaa";"Yhteensä";"Yhteensä";"2023";425
"Marttila";"Yhteensä";"Yhteensä";"2023";74
"Oripää";"Yhteensä";"Yhteensä";"2023";69
"Pöytyä";"Yhteensä";"Yhteensä";"2023";336
"Salo";"Yhteensä";"Yhteensä";"2023";890
"Somero";"Yhteensä";"Yhteensä";"2023";280
"Kaarina";"Yhteensä";"Yhteensä";"2023";109
"Lieto";"Yhteensä";"Yhteensä";"2023";192
"Masku";"Yhteensä";"Yhteensä";"2023";113
"Mynämäki";"Yhteensä";"Yhteensä";"2023";214
"Naantali";"Yhteensä";"Yhteensä";"2023";104
"Nousiainen";"Yhteensä";"Yhteensä";"2023";122
"Paimio";"Yhteensä";"Yhteensä";"2023";128
"Raisio";"Yhteensä";"Yhteensä";"2023";33
"Rusko";"Yhteensä";"Yhteensä";"2023";55
"Sauvo";"Yhteensä";"Yhteensä";"2023";106
"Turku";"Yhteensä";"Yhteensä";"2023";109
"Kustavi";"Yhteensä";"Yhteensä";"2023";81
